,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
"1104,1629029,""Doncic, Luka"",Luka Doncic,1,2018,2023,luka_don,luka_doncic,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00"
"1108,2039,""Dooling, Keyon"",Keyon Dooling,0,2000,2012,keyon_dooling,keyon_dooling,0,,,,,,Y,01"
"1110,201595,""Dorsey, Joey"",Joey Dorsey,0,2008,2014,joey_dorsey,joey_dorsey,0,,,,,,Y,01"
"1111,1628416,""Dorsey, Tyler"",Tyler Dorsey,0,2017,2022,tyler_dorsey,tyler_dorsey,0,,,,,,Y,01"
"1112,1629652,""Dort, Luguentz"",Luguentz Dort,1,2019,2023,luguentz_dort,luguentz_dort,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01"
"1113,1630245,""Dosunmu, Ayo"",Ayo Dosunmu,1,2021,2023,ayo_dosunmu,ayo_dosunmu,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00"
"1114,1628422,""Dotson, Damyean"",Damyean Dotson,0,2017,2021,damyean_dotson,damyean_dotson,0,,,,,,Y,01"
"1115,1629653,""Dotson, Devon"",Devon Dotson,0,2020,2022,devon_dotson,devon_dotson,0,,,,,,Y,11"
"1116,200763,""Douby, Quincy"",Quincy Douby,0,2006,2008,quincy_douby,quincy_douby,0,,,,,,Y,01"
"1121,201962,""Douglas, Toney"",Toney Douglas,0,2009,2016,toney_douglas,toney_douglas,0,,,,,,Y,00"
"1122,201604,""Douglas-Roberts, Chris"",Chris Douglas-Roberts,0,2008,2014,chris_douglas-roberts,chris_douglas-roberts,0,,,,,,Y,01"
"1123,1629635,""Doumbouya, Sekou"",Sekou Doumbouya,0,2019,2021,sekou_doumbouya,sekou_doumbouya,0,,,,,,Y,01"
"1125,202220,""Dowdell, Zabian"",Zabian Dowdell,0,2010,2010,zabian_dowdell,zabian_dowdell,0,,,,,,Y,01"
"1128,1630288,""Dowtin Jr., Jeff"",Jeff Dowtin Jr.,0,2021,2022,jeff_dowtin,jeff_dowtin_jr,0,,,,,,Y,11"
"1130,1628495,""Doyle, Milton"",Milton Doyle,0,2017,2017,milton_doyle,milton_doyle,0,,,,,,Y,01"
"1131,1628408,""Dozier, PJ"",PJ Dozier,0,2017,2022,pj_dozier,pj_dozier,0,,,,,,Y,01"
"1133,201609,""Dragic, Goran"",Goran Dragic,0,2008,2022,goran_dragic,goran_dragic,0,,,,,,Y,00"
"1134,204054,""Dragic, Zoran"",Zoran Dragic,0,2014,2014,zoran_dragic,zoran_dragic,0,,,,,,Y,01"
"1136,1630929,""Drell, Henri"",Henri Drell,1,2023,2023,henri_drell,henri_drell,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11"
"1140,203580,""Drew II, Larry"",Larry Drew II,0,2014,2017,larry_drew ii,larry_drew_ii,0,,,,,,Y,01"
"1144,1542,""Drobnjak, Predrag"",Predrag Drobnjak,0,2001,2004,predrag_drobnjak,predrag_drobnjak,0,,,,,,Y,00"
"1146,203083,""Drummond, Andre"",Andre Drummond,1,2012,2023,andre_drummond,andre_drummond,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00"
"1148,1630537,""Duarte, Chris"",Chris Duarte,1,2021,2023,chris_duarte,chris_duarte,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00"
"1153,201162,""Dudley, Jared"",Jared Dudley,0,2007,2020,jared_dudley,jared_dudley,0,,,,,,Y,00"
"1157,2768,""Duhon, Chris"",Chris Duhon,0,2004,2012,chris_duhon,chris_duhon,0,,,,,,Y,00"
"1158,1626251,""Dukan, Duje"",Duje Dukan,0,2015,2015,duje_dukan,duje_dukan,0,,,,,,Y,01"
"1159,1630561,""Duke Jr., David"",David Duke Jr.,1,2021,2023,david_duke_jr,david_duke_jr,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11"
"1165,1495,""Duncan, Tim"",Tim Duncan,0,1997,2015,tim_duncan,tim_duncan,0,,,,,,Y,00"
"1166,2399,""Dunleavy, Mike"",Mike Dunleavy,0,2002,2016,mike_dunleavy,mike_dunleavy,0,,,,,,Y,00"
"1168,1627739,""Dunn, Kris"",Kris Dunn,1,2016,2023,kris_dunn,kris_dunn,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01"
"1171,2648,""Dupree, Ronald"",Ronald Dupree,0,2003,2010,ronald_dupree,ronald_dupree,0,,,,,,Y,01"
"1172,201142,""Durant, Kevin"",Kevin Durant,1,2007,2023,kevin_durant,kevin_durant,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00"
"1173,1631105,""Duren, Jalen"",Jalen Duren,1,2022,2023,jalen_duren,jalen_duren,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00"
"1178,1628979,""Duval, Trevon"",Trevon Duval,0,2018,2018,trevon_duval,trevon_duval,0,,,,,,Y,01"
"1182,202406,""Dyson, Jerome"",Jerome Dyson,0,2011,2011,jerome_dyson,jerome_dyson,0,,,,,,Y,01"
"1187,203921,""Early, Cleanthony"",Cleanthony Early,0,2014,2015,cleanthony_early,cleanthony_early,0,,,,,,Y,01"
"1188,1631106,""Eason, Tari"",Tari Eason,1,2022,2023,tari_eason,tari_eason,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00"
"1191,202365,""Ebanks, Devin"",Devin Ebanks,0,2010,2012,devin_ebanks,devin_ebanks,0,,,,,,Y,01"
"1194,2569,""Ebi, Ndudi"",Ndudi Ebi,0,2003,2004,ndudi_ebi,ndudi_ebi,0,,,,,,Y,01"
"1195,1630693,""Echenique, Jaime"",Jaime Echenique,0,2021,2021,jaime_echenique,jaime_echenique,0,,,,,,Y,01"
"1196,204067,""Eddie, Jarell"",Jarell Eddie,0,2015,2017,jarell_eddie,jarell_eddie,0,,,,,,Y,01"
"1202,1630162,""Edwards, Anthony"",Anthony Edwards,1,2020,2023,anthony_edwards,anthony_edwards,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00"
"1205,1629035,""Edwards, Carsen"",Carsen Edwards,0,2019,2021,carsen_edwards,carsen_edwards,0,,,,,,Y,01"
"1206,2451,""Edwards, Corsley"",Corsley Edwards,0,2002,2004,corsley_edwards,corsley_edwards,0,,,,,,Y,01"
"1211,2823,""Edwards, John"",John Edwards,0,2004,2005,john_edwards,john_edwards,0,,,,,,Y,01"
"1212,1630556,""Edwards, Kessler"",Kessler Edwards,1,2021,2023,kessler_edwards,kessler_edwards,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11"
"1214,1630306,""Edwards, Rob"",Rob Edwards,0,2021,2021,rob_edwards,rob_edwards,0,,,,,,Y,11"
"1215,202197,""Edwards, Shane"",Shane Edwards,0,2013,2013,shane_edwards,shane_edwards,0,,,,,,Y,01"
"1216,1629053,""Edwards, Vincent"",Vincent Edwards,0,2018,2018,vincent_edwards,vincent_edwards,0,,,,,,Y,01"
"1222,458,""Eisley, Howard"",Howard Eisley,0,1994,2005,howard_eisley,howard_eisley,0,,,,,,Y,00"
"1223,1918,""Ekezie, Obinna"",Obinna Ekezie,0,1999,2004,obinna_ekezie,obinna_ekezie,0,,,,,,Y,00"
"1227,1629604,""Elleby, CJ"",CJ Elleby,0,2020,2021,cj_elleby,cj_elleby,0,,,,,,Y,01"
"1229,1627740,""Ellenson, Henry"",Henry Ellenson,0,2016,2020,henry_ellenson,henry_ellenson,0,,,,,,Y,01"
"1230,201961,""Ellington, Wayne"",Wayne Ellington,0,2009,2021,wayne_ellington,wayne_ellington,0,,,,,,Y,00"
"1238,1631165,""Ellis, Keon"",Keon Ellis,1,2022,2023,keon_ellis,keon_ellis,1610612758,Sacramento,Kings,SAC,kings,kings,Y,01"
"1242,101145,""Ellis, Monta"",Monta Ellis,0,2005,2016,monta_ellis,monta_ellis,0,,,,,,Y,00"
"1245,1922,""Elson, Francisco"",Francisco Elson,0,2003,2011,francisco_elson,francisco_elson,0,,,,,,Y,00"
"1247,2408,""Ely, Melvin"",Melvin Ely,0,2002,2013,melvin_ely,melvin_ely,0,,,,,,Y,01"
"1248,203954,""Embiid, Joel"",Joel Embiid,1,2014,2023,joel_embiid,joel_embiid,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00"
"1250,2765,""Emmett, Andre"",Andre Emmett,0,2004,2011,andre_emmett,andre_emmett,0,,,,,,Y,01"
"1258,203119,""English, Kim"",Kim English,0,2012,2012,kim_english,kim_english,0,,,,,,Y,01"
"1261,203898,""Ennis, Tyler"",Tyler Ennis,0,2014,2017,tyler_ennis,tyler_ennis,0,,,,,,Y,01"
"1262,203516,""Ennis III, James"",James Ennis III,0,2014,2021,james_ennis_iii,james_ennis_iii,0,,,,,,Y,01"
"1264,201623,""Erden, Semih"",Semih Erden,0,2010,2011,semih_erden,semih_erden,0,,,,,,Y,00"
"1271,1629234,""Eubanks, Drew"",Drew Eubanks,1,2018,2023,drew_eubanks,drew_eubanks,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"1275,1628980,""Evans, Jacob"",Jacob Evans,0,2018,2019,jacob_evans,jacob_evans,0,,,,,,Y,01"
"1276,1628393,""Evans, Jawun"",Jawun Evans,0,2017,2018,jawun_evans,jawun_evans,0,,,,,,Y,01"
"1277,202379,""Evans, Jeremy"",Jeremy Evans,0,2010,2017,jeremy_evans,jeremy_evans,0,,,,,,Y,01"
"1278,2230,""Evans, Maurice"",Maurice Evans,0,2001,2011,maurice_evans,maurice_evans,0,,,,,,Y,00"
"1280,2501,""Evans, Reggie"",Reggie Evans,0,2002,2014,reggie_evans,reggie_evans,0,,,,,,Y,00"
"1281,201936,""Evans, Tyreke"",Tyreke Evans,0,2009,2018,tyreke_evans,tyreke_evans,0,,,,,,Y,01"
"1282,1641787,""Evbuomwan, Tosan"",Tosan Evbuomwan,1,2023,2023,tosan_evbuomwan,tosan_evbuomwan,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11"
"1283,101137,""Ewing, Daniel"",Daniel Ewing,0,2005,2006,daniel_ewing,daniel_ewing,0,,,,,,Y,00"
"1285,201607,""Ewing, Patrick"",Patrick Ewing,0,2010,2010,patrick_ewing,patrick_ewing,0,,,,,,Y,01"
"1286,203957,""Exum, Dante"",Dante Exum,1,2014,2023,dante_exum,dante_exum,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00"
"1287,201963,""Eyenga, Christian"",Christian Eyenga,0,2010,2011,christian_eyenga,christian_eyenga,0,,,,,,Y,01"
"1288,203105,""Ezeli, Festus"",Festus Ezeli,0,2012,2016,festus_ezeli,festus_ezeli,0,,,,,,Y,01"
"1292,1629605,""Fall, Tacko"",Tacko Fall,0,2019,2021,tacko_fall,tacko_fall,0,,,,,,Y,01"
"1294,202702,""Faried, Kenneth"",Kenneth Faried,0,2011,2018,kenneth_faried,kenneth_faried,0,,,,,,Y,11"
"1296,200770,""Farmar, Jordan"",Jordan Farmar,0,2006,2016,jordan_farmar,jordan_farmar,0,,,,,,Y,01"
"1297,2824,""Farmer, Desmon"",Desmon Farmer,0,2006,2008,desmon_farmer,desmon_farmer,0,,,,,,Y,01"
"1302,203543,""Faverani, Vitor"",Vitor Faverani,0,2013,2013,vitor_faverani,vitor_faverani,0,,,,,,Y,01"
"1303,202324,""Favors, Derrick"",Derrick Favors,0,2010,2021,derrick_favors,derrick_favors,0,,,,,,Y,11"
"1304,201174,""Fazekas, Nick"",Nick Fazekas,0,2007,2007,nick_fazekas,nick_fazekas,0,,,,,,Y,01"
"1312,1627770,""Felder, Kay"",Kay Felder,0,2016,2017,kay_felder,kay_felder,0,,,,,,Y,01"
"1313,1626245,""Felicio, Cristiano"",Cristiano Felicio,0,2015,2020,cristiano_felicio,cristiano_felicio,0,,,,,,Y,01"
"1314,203467,""Felix, Carrick"",Carrick Felix,0,2013,2013,carrick_felix,carrick_felix,0,,,,,,Y,01"
"1315,101230,""Felix, Noel"",Noel Felix,0,2005,2005,noel_felix,noel_felix,0,,,,,,Y,01"
"1317,101109,""Felton, Raymond"",Raymond Felton,0,2005,2018,raymond_felton,raymond_felton,0,,,,,,Y,00"
"1321,1628390,""Ferguson, Terrance"",Terrance Ferguson,0,2017,2020,terrance_ferguson,terrance_ferguson,0,,,,,,Y,01"
"1322,201164,""Fernandez, Rudy"",Rudy Fernandez,0,2008,2011,rudy_fernandez,rudy_fernandez,0,,,,,,Y,00"
"1323,1628981,""Fernando, Bruno"",Bruno Fernando,1,2019,2023,bruno_fernando,bruno_fernando,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01"
"1328,1627812,""Ferrell, Yogi"",Yogi Ferrell,0,2016,2020,yogi_ferrell,yogi_ferrell,0,,,,,,Y,01"
"1332,201178,""Fesenko, Kyrylo"",Kyrylo Fesenko,0,2007,2011,kyrylo_fesenko,kyrylo_fesenko,0,,,,,,Y,01"
"1334,202361,""Fields, Landry"",Landry Fields,0,2010,2014,landry_fields,landry_fields,0,,,,,,Y,00"
"1338,714,""Finley, Michael"",Michael Finley,0,1995,2009,michael_finley,michael_finley,0,,,,,,Y,00"
"1340,1627827,""Finney-Smith, Dorian"",Dorian Finney-Smith,1,2016,2023,dorian_finney-smith,dorian_finney-smith,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00"
"1342,965,""Fisher, Derek"",Derek Fisher,0,1996,2013,derek_fisher,derek_fisher,0,,,,,,Y,00"
"1343,2809,""Fitch, Gerald"",Gerald Fitch,0,2005,2005,gerald_fitch,gerald_fitch,0,,,,,,Y,01"
"1344,1630238,""Fitts, Malik"",Malik Fitts,0,2020,2021,malik_fitts,malik_fitts,0,,,,,,Y,11"
"1347,2033,""Fizer, Marcus"",Marcus Fizer,0,2000,2005,marcus_fizer,marcus_fizer,0,,,,,,Y,01"
"1352,2784,""Flores, Luis"",Luis Flores,0,2004,2004,luis_flores,luis_flores,0,,,,,,Y,00"
"1355,201938,""Flynn, Jonny"",Jonny Flynn,0,2009,2011,jonny_flynn,jonny_flynn,0,,,,,,Y,01"
"1356,1630201,""Flynn, Malachi"",Malachi Flynn,1,2020,2023,malachi_flynn,malachi_flynn,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01"
"1362,1631323,""Fontecchio, Simone"",Simone Fontecchio,1,2022,2023,simone_fontecchio,simone_fontecchio,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00"
"1363,202880,""Foote, Jeff"",Jeff Foote,0,2011,2011,jeff_foote,jeff_foote,0,,,,,,Y,01"
"1364,1627854,""Forbes, Bryn"",Bryn Forbes,0,2016,2022,bryn_forbes,bryn_forbes,0,,,,,,Y,01"
"1365,201814,""Forbes, Gary"",Gary Forbes,0,2010,2011,gary_forbes,gary_forbes,0,,,,,,Y,01"
"1366,1630758,""Ford, Aleem"",Aleem Ford,0,2021,2021,aleem_ford,aleem_ford,0,,,,,,Y,11"
"1372,1630259,""Ford, Jordan"",Jordan Ford,1,2023,2023,jordan_ford,jordan_ford,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11"
"1374,101213,""Ford, Sharrod"",Sharrod Ford,0,2005,2005,sharrod_ford,sharrod_ford,0,,,,,,Y,01"
"1376,2551,""Ford, T.J."",T.J. Ford,0,2003,2011,t.j._ford,tj_ford,0,,,,,,Y,00"
"1379,1630235,""Forrest, Trent"",Trent Forrest,1,2020,2023,trent_forrest,trent_forrest,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01"
"1381,202622,""Fortson, Courtney"",Courtney Fortson,0,2011,2011,courtney_fortson,courtney_fortson,0,,,,,,Y,01"
"1382,1504,""Fortson, Danny"",Danny Fortson,0,1997,2006,danny_fortson,danny_fortson,0,,,,,,Y,00"
"1385,1902,""Foster, Jeff"",Jeff Foster,0,1999,2011,jeff_foster,jeff_foster,0,,,,,,Y,00"
"1387,1630701,""Foster Jr., Michael"",Michael Foster Jr.,0,2022,2022,michael_foster_jr,michael_foster_jr,0,,,,,,Y,11"
"1389,203095,""Fournier, Evan"",Evan Fournier,1,2012,2023,evan_fournier,evan_fournier,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00"
"1392,1762,""Fowlkes, Tremaine"",Tremaine Fowlkes,0,2001,2004,tremaine_fowlkes,tremaine_fowlkes,0,,,,,,Y,01"
"1393,1628368,""Fox, De'Aaron"",De'Aaron Fox,1,2017,2023,de'aaron_fox,deaaron_fox,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00"
"1397,200751,""Foye, Randy"",Randy Foye,0,2006,2016,randy_foye,randy_foye,0,,,,,,Y,00"
"1398,1502,""Foyle, Adonal"",Adonal Foyle,0,1997,2009,adonal_foyle,adonal_foyle,0,,,,,,Y,00"
"1399,2499,""Frahm, Richie"",Richie Frahm,0,2002,2007,richie_frahm,richie_frahm,0,,,,,,Y,01"
"1400,1883,""Francis, Steve"",Steve Francis,0,1999,2007,steve_francis,steve_francis,0,,,,,,Y,00"
"1403,203479,""Franklin, Jamaal"",Jamaal Franklin,0,2013,2014,jamaal_franklin,jamaal_franklin,0,,,,,,Y,01"
"1404,1629606,""Franks, Robert"",Robert Franks,0,2020,2020,robert_franks,robert_franks,0,,,,,,Y,01"
"1405,204025,""Frazier, Tim"",Tim Frazier,0,2014,2021,tim_frazier,tim_frazier,0,,,,,,Y,01"
"1408,1626187,""Frazier II, Michael"",Michael Frazier II,0,2018,2019,michael_frazier,michael_frazier_ii,0,,,,,,Y,11"
"1409,1628982,""Frazier Jr., Melvin"",Melvin Frazier Jr.,0,2018,2021,melvin_frazier_jr,melvin_frazier_jr,0,,,,,,Y,11"
"1411,202690,""Fredette, Jimmer"",Jimmer Fredette,0,2011,2018,jimmer_fredette,jimmer_fredette,0,,,,,,Y,01"
"1413,202683,""Freedom, Enes"",Enes Freedom,0,2011,2021,enes_freedom,enes_freedom,0,,,,,,Y,00"
"1414,200777,""Freeland, Joel"",Joel Freeland,0,2012,2014,joel_freeland,joel_freeland,0,,,,,,Y,01"
"1418,1631241,""Freeman-Liberty, Javon"",Javon Freeman-Liberty,1,2023,2023,javon_freeman-liberty,javon_freeman-liberty,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11"
"1419,2782,""Freije, Matt"",Matt Freije,0,2004,2006,matt_freije,matt_freije,0,,,,,,Y,00"
"1424,101112,""Frye, Channing"",Channing Frye,0,2005,2018,channing_frye,channing_frye,0,,,,,,Y,00"
"1427,1641788,""Fudge, Alex"",Alex Fudge,0,2023,2023,alex_fudge,alex_fudge,0,,,,,,Y,11"
"1433,1628365,""Fultz, Markelle"",Markelle Fultz,1,2017,2023,markelle_fultz,markelle_fultz,1610612753,Orlando,Magic,ORL,magic,magic,Y,00"
"1434,1444,""Funderburke, Lawrence"",Lawrence Funderburke,0,1997,2004,lawrence_funderburke,lawrence_funderburke,0,,,,,,Y,00"
"1437,1629117,""Gabriel, Wenyen"",Wenyen Gabriel,0,2018,2022,wenyen_gabriel,wenyen_gabriel,0,,,,,,Y,11"
"1438,2429,""Gadzuric, Dan"",Dan Gadzuric,0,2002,2011,dan_gadzuric,dan_gadzuric,0,,,,,,Y,01"
"1439,202070,""Gaffney, Tony"",Tony Gaffney,0,2009,2009,tony_gaffney,tony_gaffney,0,,,,,,Y,01"
"1440,1629655,""Gafford, Daniel"",Daniel Gafford,1,2019,2023,daniel_gafford,daniel_gafford,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,01"
"1441,101184,""Gai, Deng"",Deng Gai,0,2005,2005,deng_gai,deng_gai,0,,,,,,Y,00"
"1444,2558,""Gaines, Reece"",Reece Gaines,0,2003,2005,reece_gaines,reece_gaines,0,,,,,,Y,01"
"1445,202178,""Gaines, Sundiata"",Sundiata Gaines,0,2009,2011,sundiata_gaines,sundiata_gaines,0,,,,,,Y,01"
"1449,201568,""Gallinari, Danilo"",Danilo Gallinari,1,2008,2023,danilo_gallinari,danilo_gallinari,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00"
"1450,204038,""Galloway, Langston"",Langston Galloway,0,2014,2021,langston_galloway,langston_galloway,0,,,,,,Y,01"
"1454,200816,""Garbajosa, Jorge"",Jorge Garbajosa,0,2006,2007,jorge_garbajosa,jorge_garbajosa,0,,,,,,Y,00"
"1456,2682,""Garcia, Alex"",Alex Garcia,0,2003,2004,alex_garcia,alex_garcia,0,,,,,,Y,00"
"1457,101128,""Garcia, Francisco"",Francisco Garcia,0,2005,2014,francisco_garcia,francisco_garcia,0,,,,,,Y,00"
"1459,201242,""Gardner, Thomas"",Thomas Gardner,0,2007,2008,thomas_gardner,thomas_gardner,0,,,,,,Y,01"
"1462,1627868,""Garino, Patricio"",Patricio Garino,0,2016,2016,patricio_garino,patricio_garino,0,,,,,,Y,01"
"1463,1629636,""Garland, Darius"",Darius Garland,1,2019,2023,darius_garland,darius_garland,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00"
"1469,708,""Garnett, Kevin"",Kevin Garnett,0,1995,2015,kevin_garnett,kevin_garnett,0,,,,,,Y,00"
"1471,1628656,""Garrett, Billy"",Billy Garrett,0,2018,2018,billy_garrett,billy_garrett,0,,,,,,Y,01"
"1474,203197,""Garrett, Diante"",Diante Garrett,0,2012,2013,diante_garrett,diante_garrett,0,,,,,,Y,01"
"1476,1630585,""Garrett, Marcus"",Marcus Garrett,0,2021,2021,marcus_garrett,marcus_garrett,0,,,,,,Y,11"
"1481,1727,""Garrity, Pat"",Pat Garrity,0,1998,2007,pat_garrity,pat_garrity,0,,,,,,Y,00"
"1482,1630586,""Garuba, Usman"",Usman Garuba,1,2021,2023,usman_garuba,usman_garuba,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11"
"1484,1630568,""Garza, Luka"",Luka Garza,1,2021,2023,luka_garza,luka_garza,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01"
"1485,201188,""Gasol, Marc"",Marc Gasol,0,2008,2020,marc_gasol,marc_gasol,0,,,,,,Y,00"
"1486,2200,""Gasol, Pau"",Pau Gasol,0,2001,2018,pau_gasol,pau_gasol,0,,,,,,Y,00"
"1488,1629232,""Gates, Kaiser"",Kaiser Gates,0,2023,2023,kaiser_gates,kaiser_gates,0,,,,,,Y,11"
"1491,200752,""Gay, Rudy"",Rudy Gay,0,2006,2022,rudy_gay,rudy_gay,0,,,,,,Y,00"
"1494,1627771,""Gbinije, Michael"",Michael Gbinije,0,2016,2016,michael_gbinije,michael_gbinije,0,,,,,,Y,01"
"1496,202087,""Gee, Alonzo"",Alonzo Gee,0,2009,2016,alonzo_gee,alonzo_gee,0,,,,,,Y,01"
"1498,101153,""Gelabale, Mickael"",Mickael Gelabale,0,2006,2012,mickael_gelabale,mickael_gelabale,0,,,,,,Y,01"
"1499,1904,""George, Devean"",Devean George,0,1999,2009,devean_george,devean_george,0,,,,,,Y,00"
"1501,1641718,""George, Keyonte"",Keyonte George,1,2023,2023,keyonte_george,keyonte_george,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00"
"1502,202331,""George, Paul"",Paul George,1,2010,2023,paul_george,paul_george,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00"
"1504,1627875,""Georges-Hunt, Marcus"",Marcus Georges-Hunt,0,2016,2017,marcus_georges-hunt,marcus_georges-hunt,0,,,,,,Y,01"
"1511,200789,""Gibson, Daniel"",Daniel Gibson,0,2006,2012,daniel_gibson,daniel_gibson,0,,,,,,Y,00"
"1513,1626780,""Gibson, Jonathan"",Jonathan Gibson,0,2016,2018,jonathan_gibson,jonathan_gibson,0,,,,,,Y,00"
"1516,201959,""Gibson, Taj"",Taj Gibson,1,2009,2023,taj_gibson,taj_gibson,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00"
"1518,201592,""Giddens, J.R."",J.R. Giddens,0,2008,2009,j.r._giddens,jr_giddens,0,,,,,,Y,01"
"1519,1630581,""Giddey, Josh"",Josh Giddey,1,2021,2023,josh_giddey,josh_giddey,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00"
"1520,201821,""Gilder, Trey"",Trey Gilder,0,2009,2009,trey_gilder,trey_gilder,0,,,,,,Y,01"
"1521,1628385,""Giles III, Harry"",Harry Giles III,1,2017,2023,harry_giles,harry_giles_iii,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,01"
"1522,1628983,""Gilgeous-Alexander, Shai"",Shai Gilgeous-Alexander,1,2018,2023,shai_gilgeous-alexander,shai_gilgeous-alexander,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00"
"1523,1630264,""Gill, Anthony"",Anthony Gill,1,2020,2023,anthony_gill,anthony_gill,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00"
"1524,2109,""Gill, Eddie"",Eddie Gill,0,2000,2008,eddie_gill,eddie_gill,0,,,,,,Y,01"
"1525,383,""Gill, Kendall"",Kendall Gill,0,1990,2004,kendall_gill,kendall_gill,0,,,,,,Y,00"
"1527,1631221,""Gillespie, Collin"",Collin Gillespie,1,2022,2023,collin_gillespie,collin_gillespie,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,11"
"1528,1630273,""Gillespie, Freddie"",Freddie Gillespie,0,2020,2021,freddie_gillespie,freddie_gillespie,0,,,,,,Y,01"
"1535,1631367,""Gilyard, Jacob"",Jacob Gilyard,1,2022,2023,jacob_gilyard,jacob_gilyard,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11"
"1536,1938,""Ginobili, Manu"",Manu Ginobili,0,2002,2017,manu_ginobili,manu_ginobili,0,,,,,,Y,00"
"1537,1921,""Giricek, Gordan"",Gordan Giricek,0,2002,2007,gordan_giricek,gordan_giricek,0,,,,,,Y,00"
"1539,202148,""Gladness, Mickell"",Mickell Gladness,0,2011,2011,mickell_gladness,mickell_gladness,0,,,,,,Y,01"
"1546,1901,""Glover, Dion"",Dion Glover,0,1999,2004,dion_glover,dion_glover,0,,,,,,Y,00"
"1547,2601,""Glyniadakis, Andreas"",Andreas Glyniadakis,0,2006,2006,andreas_glyniadakis,andreas_glyniadakis,0,,,,,,Y,01"
"1549,203497,""Gobert, Rudy"",Rudy Gobert,1,2013,2023,rudy_gobert,rudy_gobert,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01"
"1553,924,""Goldwire, Anthony"",Anthony Goldwire,0,1995,2005,anthony_goldwire,anthony_goldwire,0,,,,,,Y,00"
"1554,101155,""Gomes, Ryan"",Ryan Gomes,0,2005,2013,ryan_gomes,ryan_gomes,0,,,,,,Y,01"
"1557,2400,""Gooden, Drew"",Drew Gooden,0,2002,2015,drew_gooden,drew_gooden,0,,,,,,Y,00"
"1560,203462,""Goodwin, Archie"",Archie Goodwin,0,2013,2016,archie_goodwin,archie_goodwin,0,,,,,,Y,01"
"1561,1629164,""Goodwin, Brandon"",Brandon Goodwin,0,2018,2021,brandon_goodwin,brandon_goodwin,0,,,,,,Y,11"
"1562,1630692,""Goodwin, Jordan"",Jordan Goodwin,1,2021,2023,jordan_goodwin,jordan_goodwin,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"1564,203932,""Gordon, Aaron"",Aaron Gordon,1,2014,2023,aaron_gordon,aaron_gordon,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00"
"1565,2732,""Gordon, Ben"",Ben Gordon,0,2004,2014,ben_gordon,ben_gordon,0,,,,,,Y,01"
"1566,204079,""Gordon, Drew"",Drew Gordon,0,2014,2014,drew_gordon,drew_gordon,0,,,,,,Y,01"
